design,prisoners_of_war_among_missing,military_deaths,male_2022,male_2023,male_2024,female_2025,male_2025
the missing counted dead but the prisoners and half the bound on the alive outside captivity (production),1552,179730,4.63,4.15,5.71,0.128,6.56
none alive outside captivity,1552,181799,4.64,4.17,5.75,0.128,6.69
alive outside captivity at the bound,1552,177660,4.61,4.13,5.68,0.128,6.43
every person no longer listed counted in the bound,1552,174741,4.59,4.07,5.6,0.128,6.31
"one bound for every event year, all resolutions pooled",1552,178495,4.61,4.13,5.65,0.128,6.53
the bound of the events of 2023-2025 for every event year,1552,179978,4.63,4.15,5.7,0.128,6.6
the events of 2022 on their own bound,1552,178059,4.45,4.15,5.71,0.128,6.56
returns from captivity left out of the population at risk,1552,179700,4.63,4.15,5.71,0.128,6.56
people listed as missing in the first release only,1552,180571,4.63,4.16,5.72,0.128,6.63
every unrecorded prisoner among the missing,2966,178346,4.57,4.14,5.68,0.128,6.52
unrecorded prisoners among the missing as the returned of every year had been,702,180562,4.66,4.16,5.74,0.128,6.58
the register's prisoners with no recorded event year left out,2278,179019,4.6,4.15,5.7,0.128,6.54
prisoners split over event years as the register's held and released are,1552,179727,4.6,4.14,5.72,0.128,6.58
prisoners split over event years as the returned who had been listed as missing are,1552,179725,4.62,4.13,5.71,0.128,6.59
"the duration model projected to 48 months, one set of hazards for every cohort",1552,177891,4.69,4.13,5.62,0.128,6.45
"the duration model projected to 48 months, the events of 2022 with their own rate out of the register",1552,180364,4.69,4.16,5.7,0.128,6.57
event-year cohorts standing in for duration,1552,178506,4.68,4.12,5.64,0.128,6.5
